Date,CADATA.Positive,CADATA.HospitalizedCumulative
2020-3-4,53,0
2020-3-5,53,0
2020-3-6,60,0
2020-3-7,69,0
2020-3-8,88,0
2020-3-9,114,0
2020-3-10,133,0
2020-3-11,157,0
2020-3-12,202,0
2020-3-13,202,0
2020-3-14,252,0
2020-3-15,293,0
2020-3-16,335,0
2020-3-17,483,0
2020-3-18,611,0
2020-3-19,924,0
2020-3-20,1063,0
2020-3-21,1279,0
2020-3-22,1536,0
2020-3-23,1733,0
2020-3-24,2102,0
2020-3-25,2355,0
2020-3-26,3006,0
2020-3-27,3879,0
2020-3-28,4643,0
2020-3-29,5708,0
2020-3-30,6447,0
2020-3-31,7482,0
2020-4-1,8155,0
2020-4-2,9191,0
2020-4-3,10701,0
2020-4-4,12026,0
2020-4-5,13438,0
2020-4-6,14336,0
2020-4-7,15865,0
2020-4-8,16957,0
2020-4-9,18309,0
2020-4-10,19472,0
2020-4-11,20615,0
2020-4-12,21794,0
2020-4-13,22348,0
2020-4-14,23338,0
2020-4-15,24424,0
2020-4-16,26182,0
2020-4-17,27528,0
2020-4-18,28963,0
2020-4-19,30333,0
2020-4-20,30978,0
2020-4-21,33261,0
2020-4-22,35396,0
2020-4-23,37369,0
2020-4-24,39254,0
2020-4-25,41137,0
2020-4-26,42164,0
2020-4-27,43464,0
2020-4-28,45031,0
2020-4-29,46500,0
2020-4-30,48917,0
2020-5-1,50442,0
2020-5-2,52197,0
2020-5-3,53616,0
2020-5-4,54937,0
2020-5-5,56212,0
2020-5-6,58815,0
2020-5-7,60614,0
2020-5-8,62512,0
2020-5-9,64561,0
2020-5-10,66680,0
2020-5-11,67939,0
2020-5-12,69382,0
2020-5-13,71141,0
2020-5-14,73164,0
2020-5-15,74936,0
2020-5-16,76793,0
2020-5-17,78839,0
2020-5-18,80430,0
2020-5-19,81795,0
2020-5-20,84057,0
2020-5-21,86197,0
2020-5-22,88444,0
2020-5-23,90631,0
2020-5-24,92710,0
2020-5-25,94558,0
2020-5-26,96733,0
2020-5-27,98980,0
2020-5-28,101697,0
2020-5-29,103886,0
2020-5-30,106878,0
2020-5-31,110583,0
2020-6-1,113006,0
2020-6-2,115310,0
2020-6-3,117687,0
2020-6-4,119807,0
2020-6-5,122901,0
2020-6-6,126016,0
2020-6-7,128812,0
2020-6-8,131319,0
2020-6-9,133489,0
2020-6-10,136191,0
2020-6-11,139281,0
2020-6-12,141983,0
2020-6-13,145643,0
2020-6-14,148855,0
2020-6-15,151452,0
2020-6-16,153560,0
2020-6-17,157015,0
2020-6-18,161099,0
2020-6-19,165416,0
2020-6-20,169309,0
2020-6-21,173824,0
2020-6-22,178054,0
2020-6-23,183073,0
2020-6-24,190222,0
2020-6-25,195571,0
2020-6-26,200461,0
2020-6-27,206433,0
2020-6-28,211243,0
2020-6-29,219252,0
2020-6-30,228732,0
2020-7-1,236139,0
2020-7-2,242547,0
2020-7-3,248235,0
2020-7-4,257388,0
2020-7-5,265985,0
2020-7-6,271684,0
2020-7-7,277774,0
2020-7-8,289468,0
2020-7-9,296499,0
2020-7-10,304297,0
2020-7-11,312344,0
2020-7-12,320804,0
2020-7-13,329162,0
2020-7-14,336508,0
2020-7-15,347634,0
2020-7-16,356178,0
2020-7-17,366164,0
2020-7-18,375363,0
2020-7-19,384692,0
2020-7-20,391538,0
2020-7-21,400769,0
2020-7-22,413576,0
2020-7-23,425616,0
2020-7-24,435334,0
2020-7-25,445400,0
2020-7-26,453659,0
2020-7-27,460550,0
2020-7-28,466550,0
2020-7-29,475305,0
2020-7-30,485502,0
2020-7-31,493588,0
2020-8-1,500130,0
2020-8-2,509162,0
2020-8-3,514901,0
2020-8-4,519427,0
2020-8-5,524722,0
2020-8-6,529980,0
2020-8-7,538416,0
2020-8-8,545787,0
2020-8-9,554160,0
2020-8-10,561911,0
2020-8-11,574411,0
2020-8-12,586056,0
2020-8-13,593141,0
2020-8-14,601075,0
2020-8-15,613689,0
2020-8-16,621562,0
2020-8-17,628031,0
2020-8-18,632667,0
2020-8-19,638831,0
2020-8-20,644751,0
2020-8-21,650336,0
2020-8-22,656892,0
2020-8-23,663669,0
2020-8-24,668615,0
2020-8-25,673095,0
2020-8-26,679099,0
2020-8-27,683529,0
2020-8-28,688858,0
2020-8-29,693839,0
2020-8-30,699909,0
2020-8-31,704085,0
2020-9-1,707797,0
2020-9-2,712052,0
2020-9-3,717177,0
2020-9-4,722283,0
2020-9-5,727239,0
2020-9-6,732144,0
2020-9-7,735235,0
2020-9-8,737911,0
2020-9-9,739527,0
2020-9-10,742865,0
2020-9-11,746191,0
2020-9-12,750298,0
2020-9-13,754923,0
2020-9-14,757778,0
2020-9-15,760013,0
2020-9-16,762963,0
2020-9-17,766201,0
2020-9-18,769831,0
2020-9-19,774135,0
2020-9-20,778400,0
2020-9-21,781694,0
2020-9-22,784324,0
2020-9-23,787470,0
2020-9-24,790640,0
2020-9-25,794040,0
2020-9-26,798237,0
2020-9-27,802308,0
2020-9-28,805263,0
2020-9-29,807425,0
2020-9-30,810625,0
2020-10-1,813687,0
2020-10-2,817277,0
2020-10-3,819436,0
2020-10-4,823729,0
2020-10-5,826784,0
2020-10-6,828461,0
2020-10-7,831225,0
2020-10-8,834800,0
2020-10-9,838606,0
2020-10-10,842776,0
2020-10-11,846579,0
2020-10-12,850028,0
2020-10-13,852406,0
2020-10-14,855072,0
2020-10-15,858401,0
2020-10-16,861476,0
2020-10-17,864455,0
2020-10-18,867317,0
2020-10-19,870791,0
2020-10-20,874077,0
2020-10-21,877784,0
2020-10-22,880724,0
2020-10-23,886865,0
2020-10-24,892810,0
2020-10-25,898029,0
2020-10-26,901010,0
2020-10-27,904198,0
2020-10-28,908713,0
2020-10-29,912904,0
2020-10-30,916918,0
2020-10-31,922005,0
2020-11-1,926534,0
2020-11-2,930628,0
2020-11-3,934672,0
2020-11-4,940010,0
2020-11-5,944576,0
2020-11-6,951094,0
2020-11-7,956957,0
2020-11-8,964639,0
2020-11-9,971851,0
2020-11-10,977218,0
2020-11-11,984682,0
2020-11-12,991609,0
2020-11-13,998502,0
2020-11-14,1008377,0
2020-11-15,1019345,0
2020-11-16,1029235,0
2020-11-17,1037978,0
2020-11-18,1047789,0
2020-11-19,1059267,0
2020-11-20,1072272,0
2020-11-21,1087714,0
2020-11-22,1102033,0
2020-11-23,1110370,0
2020-11-24,1125699,0
2020-11-25,1144049,0
2020-11-26,1158689,0
2020-11-27,1171324,0
2020-11-28,1183320,0
2020-11-29,1198934,0
2020-11-30,1212968,0
2020-12-1,1225189,0
2020-12-2,1245948,0
2020-12-3,1264539,0
2020-12-4,1286557,0
2020-12-5,1311625,0
2020-12-6,1341700,0
2020-12-7,1366435,0
2020-12-8,1389707,0
2020-12-9,1420558,0
2020-12-10,1450235,0
2020-12-11,1485703,0
2020-12-12,1521432,0
2020-12-13,1551766,0
2020-12-14,1585044,0
2020-12-15,1617370,0
2020-12-16,1671081,0
2020-12-17,1723362,0
2020-12-18,1764374,0
2020-12-19,1807982,0
2020-12-20,1854456,0
2020-12-21,1892348,0
2020-12-22,1925007,0
2020-12-23,1964076,0
2020-12-24,2003146,0
2020-12-25,2042290,0
2020-12-26,2072665,0
2020-12-27,2122806,0
2020-12-28,2155976,0
2020-12-29,2187221,0
2020-12-30,2218142,0
2020-12-31,2245379,0
2021-1-1,2292568,0
2021-1-2,2345909,0
2021-1-3,2391261,0
2021-1-4,2420894,0
2021-1-5,2452334,0
2021-1-6,2482226,0
2021-1-7,2518611,0
2021-1-8,2568641,0
2021-1-9,2621277,0
2021-1-10,2670962,0
2021-1-11,2710801,0
2021-1-12,2747288,0
2021-1-13,2781039,0
2021-1-14,2816969,0
2021-1-15,2859624,0
2021-1-16,2900246,0
2021-1-17,2942475,0
2021-1-18,2973174,0
2021-1-19,2996968,0
2021-1-20,3019371,0
2021-1-21,3039044,0
2021-1-22,3062068,0
2021-1-23,3085040,0
2021-1-24,3109151,0
2021-1-25,3136158,0
2021-1-26,3153186,0
2021-1-27,3169914,0
2021-1-28,3186610,0
2021-1-29,3205947,0
2021-1-30,3224374,0
2021-1-31,3243348,0
2021-2-1,3258706,0
2021-2-2,3270770,0
2021-2-3,3281271,0
2021-2-4,3294447,0
2021-2-5,3308468,0
2021-2-6,3320862,0
2021-2-7,3335926,0
2021-2-8,3346340,0
2021-2-9,3354591,0
2021-2-10,3362981,0
2021-2-11,3371556,0
2021-2-12,3381615,0
2021-2-13,3391036,0
2021-2-14,3399878,0
2021-2-15,3406365,0
2021-2-16,3412057,0
2021-2-17,3416147,0
2021-2-18,3421720,0
2021-2-19,3428518,0
2021-2-20,3435186,0
2021-2-21,3441946,0
2021-2-22,3446611,0
2021-2-23,3450058,0
2021-2-24,3455361,0
2021-2-25,3460326,0
2021-2-26,3465726,0
2021-2-27,3470877,0
2021-2-28,3475562,0
2021-3-1,3479078,0
2021-3-2,3481611,0
2021-3-3,3484963,0
2021-3-4,3488467,0
2021-3-5,3493126,0
2021-3-6,3497578,0
2021-3-7,3501394,0
